209,0
673,0
1138,0
1602,1
2090,2
2566,1
3042,1
3495,2
3971,2
4435,3
4911,2
5375,3
5840,2
6304,3
6792,2
7245,2
7721,3
8185,3
8661,3
9125,3
9590,2
10066,3
10542,2
10995,1
11471,2
11935,2
12411,3
12875,2
13340,2
13816,1
14292,0
14745,1
15209,0
15685,1
16161,2
16625,1
17090,1
17554,2
18030,2
18495,3
18971,3
19435,2
19923,1
20364,2
20840,3
21316,3
21792,2
22256,2
22732,1
23185,1
23661,0
24126,1
24602,2
25066,1
25530,2
26006,1
26471,0
26935,1
27411,1
27876,1
28340,2
28816,1
29292,0
29756,1
30232,2
30685,1
31150,1
31626,0
32113,0
32566,0
33042,1
33506,0
33982,1
34435,2
34911,3
35376,2
35852,1
36316,0
36780,1
37256,1
37709,1
38197,0
38661,0
39137,0
39602,1
40066,2
40530,1
41006,1
41471,2
41947,2
42411,1
42887,2
43340,3
43816,2
44292,1
44745,2
45221,1
45685,0
46161,0
46626,0
47090,0
47566,1
48042,0
48495,1
48971,2
49435,1
49911,2
50376,1
50840,0
51316,0
51792,1
52245,0
52721,1
53185,1
53661,1
54126,0
54590,0
55055,1
55542,2
55995,3
56471,2
56935,3
57411,2
57864,3
58340,2
58816,3
59281,2
59745,3
60221,2
60685,1
61150,2
61626,3
62102,2
62566,3
63031,3
63495,2
63959,3
64435,2
64911,2
65376,1
65852,0
66316,1
66781,2
67245,2
67709,1
68185,2
68661,3
69126,3
69590,3
70066,2
70531,2
70995,2
71471,3
71935,2
72400,1
72864,2
73340,3
73816,2
74281,2
74745,3
75221,2
75697,1
76161,1
76626,0
77090,1
77566,2
78042,2
78495,3
78959,3
79435,2
79911,3
80376,2
80840,3
81316,3
81792,3
82257,2
82721,2
83185,2
83650,2
84126,2
84590,3
85066,2
85542,2
85995,3
86471,3
86936,2
87412,2
87876,1
88340,0
88816,0
89292,1
89745,2
90221,3
90686,2
91000,1


